Len,Source,Category,CTCode,Value
42,"1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE",c,043IPI2M0K,"1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE"
41, N-CYCLOHEXYL-3-AMINOPROPANESULFONIC ACID,c,4W981O1LXP,3-\(CYCLOHEXYLAMINO\)PROPANESULFONIC ACID
41,HYDROXYETHYL CELLULOSE \(2000 MPA\.S AT 1%\),c,S38J6RZN16,HYDROXYETHYL CELLULOSE \(2000 MPA\.S AT 1%\)
41,HYDROXYETHYL CELLULOSE \(4000 MPA\.S AT 1%\),c,ZYD53NBL45,HYDROXYETHYL CELLULOSE \(4000 MPA\.S AT 1%\)
41,"SODIUM TRIPOLYPHOSPHATE, UNSPECIFIED FORM",c,5HK03SA80J,"SODIUM TRIPOLYPHOSPHATE, UNSPECIFIED FORM"
40,HYDROXYETHYL CELLULOSE \(140 MPA\.S AT 5%\),c,8136Y38GY5,HYDROXYETHYL CELLULOSE \(140 MPA\.S AT 5%\)
40,HYDROXYETHYL CELLULOSE \(280 MPA\.S AT 2%\),c,12VCE9HR9E,HYDROXYETHYL CELLULOSE \(280 MPA\.S AT 2%\)
40,"SODIUM PHOSPHATE, DIBASIC, DODECAHYDRATE",c,E1W4N241FO,"SODIUM PHOSPHATE, DIBASIC, DODECAHYDRATE"
40,"SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE",c,593YOG76RN,"SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE"
40,STYRENE/ISOPRENE/STYRENE BLOCK COPOLYMER,c,K7S96QM8DV,STYRENE/ISOPRENE/STYRENE BLOCK COPOLYMER
39,2-\(BIS\(2-HYDROXYETHYL\)AMINO\)ACETIC ACID,c,1J484QFI1O,BICINE
39,3-\(CYCLOHEXYLAMINO\)PROPANESULFONIC ACID,c,4W981O1LXP,3-\(CYCLOHEXYLAMINO\)PROPANESULFONIC ACID
39,"CALCIUM PHOSPHATE, MONOBASIC, ANHYDROUS",c,701EKV9RMN,"CALCIUM PHOSPHATE, MONOBASIC, ANHYDROUS"
39,"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",c,70WT22SF4B,"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE"
39,"SODIUM PHOSPHATE, TRIBASIC, MONOHYDRATE",c,J9O85FKF29,"SODIUM PHOSPHATE, TRIBASIC, MONOHYDRATE"
38,2-\(CYCLOHEXYLAMINO\)ETHANESULFONIC ACID,c,71X53V3RZ1,2-\(CYCLOHEXYLAMINO\)ETHANESULFONIC ACID
38,POLYOXYETHYLENE SORBITAN MONOPALMITATE,c,STI11B5A2X,POLYSORBATE 40
38,"CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE",c,0A5MM307FC,"CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE"
38,HYDROXYPROPYL CELLULOSE \(1600000 WAMW\),c,RFW2ET671P,HYDROXYPROPYL CELLULOSE \(1600000 WAMW\)
38,PPG-20 METHYL GLUCOSE ETHER DISTEARATE,c,0057334FAB,PPG-20 METHYL GLUCOSE ETHER DISTEARATE
38,"SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS",c,KH7I04HPUU,"SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS"
38,"SODIUM PHOSPHATE, MONOBASIC, DIHYDRATE",c,5QWK665956,"SODIUM PHOSPHATE, MONOBASIC, DIHYDRATE"
