"STUDYID","DOMAIN","USUBJID","BWSEQ","BWTESTCD","BWTEST","BWORRES","BWORRESU","BWSTRESC","BWSTRESN","BWSTRESU","BWSTAT","BWREASND","BWBLFL","BWFAST","BWEXCLFL","BWREASEX","VISITDY","BWDTC","BWDY"
"GLP003","BW","107001431",63,"TERMBW","Terminal Body Weight","348.5","g","348.5",348.5,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:33:58",29
"GLP003","BW","107001394",64,"TERMBW","Terminal Body Weight","401.1","g","401.1",401.1,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:34:03",29
"GLP003","BW","107001480",65,"TERMBW","Terminal Body Weight","359.5","g","359.5",359.5,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-10T11:34:10",29
"GLP003","BW","107001411",66,"TERMBW","Terminal Body Weight","410.4","g","410.4",410.4,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:42:17",30
"GLP003","BW","107001433",67,"TERMBW","Terminal Body Weight","317.0","g","317.0",317,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:42:23",30
"GLP003","BW","107001375",68,"TERMBW","Terminal Body Weight","408.9","g","408.9",408.9,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:42:29",30
"GLP003","BW","107001381",69,"TERMBW","Terminal Body Weight","368.4","g","368.4",368.4,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:42:34",30
"GLP003","BW","107001416",70,"TERMBW","Terminal Body Weight","409.1","g","409.1",409.1,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:42:42",30
"GLP003","BW","107001386",71,"TERMBW","Terminal Body Weight","427.9","g","427.9",427.9,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:56:34",43
"GLP003","BW","107001379",72,"TERMBW","Terminal Body Weight","444.2","g","444.2",444.2,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:56:40",43
"GLP003","BW","107001432",73,"TERMBW","Terminal Body Weight","422.7","g","422.7",422.7,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:56:46",43
"GLP003","BW","107001478",74,"TERMBW","Terminal Body Weight","448.7","g","448.7",448.7,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:56:52",43
"GLP003","BW","107001491",75,"TERMBW","Terminal Body Weight","444.5","g","444.5",444.5,"g",NA,NA,NA,NA,NA,NA,43,"2007-07-24T09:56:57",43
"GLP003","BW","107001570",76,"TERMBW","Terminal Body Weight","245.9","g","245.9",245.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:00:35",29
"GLP003","BW","107001618",77,"TERMBW","Terminal Body Weight","219.7","g","219.7",219.7,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:00:41",29
"GLP003","BW","107001520",78,"TERMBW","Terminal Body Weight","235.0","g","235.0",235,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:00:47",29
"GLP003","BW","107001553",79,"TERMBW","Terminal Body Weight","216.6","g","216.6",216.6,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:00:52",29
"GLP003","BW","107001540",80,"TERMBW","Terminal Body Weight","226.9","g","226.9",226.9,"g",NA,NA,NA,NA,NA,NA,29,"2007-07-12T11:01:03",29
"GLP003","BW","107001562",81,"TERMBW","Terminal Body Weight","232.6","g","232.6",232.6,"g",NA,NA,NA,NA,NA,NA,30,"2007-07-13T10:35:17",30
