"STUDYID","DOMAIN","USUBJID","SESEQ","ETCD","ELEMENT","SESTDTC","SEENDTC","SEUPDES"
"GLP003","SE","107001618",318,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001520",319,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001553",320,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001540",321,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001562",322,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001631",323,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001499",324,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001552",325,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001505",326,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001637",327,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001612",328,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001574",329,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001519",330,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001589",331,"D_3","60 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001447",332,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001414",333,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001400",334,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001454",335,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001393",336,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001355",337,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001426",338,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001424",339,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001438",340,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001404",341,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001482",342,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001486",343,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001398",344,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001445",345,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001399",346,"D_4","200 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001583",347,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001517",348,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001545",349,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001547",350,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
