"STUDYID","DOMAIN","USUBJID","BGSEQ","BGTESTCD","BGTEST","BGORRES","BGORRESU","BGSTRESC","BGSTRESN","BGSTRESU","BGSTAT","BGREASND","BGEXCLFL","BGREASEX","BGDTC","BGENDTC","BGDY","BGENDY","BGELTM","BGTPTREF","BGRFTDTC"
"GLP003","BG","107001362",43,"BWGAIN","Body Weight Gain","24.0","g","24.0",24,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001363",44,"BWGAIN","Body Weight Gain","26.0","g","26.0",26,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001473",45,"BWGAIN","Body Weight Gain","16.0","g","16.0",16,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-4,-1,NA,NA,NA
"GLP003","BG","107001525",46,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001541",47,"BWGAIN","Body Weight Gain","10.0","g","10.0",10,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001579",48,"BWGAIN","Body Weight Gain","13.0","g","13.0",13,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001534",49,"BWGAIN","Body Weight Gain","10.0","g","10.0",10,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001629",50,"BWGAIN","Body Weight Gain","16.0","g","16.0",16,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001511",51,"BWGAIN","Body Weight Gain","0.0","g","0.0",0,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001620",52,"BWGAIN","Body Weight Gain","10.0","g","10.0",10,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001641",53,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001602",54,"BWGAIN","Body Weight Gain","12.0","g","12.0",12,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001513",55,"BWGAIN","Body Weight Gain","11.0","g","11.0",11,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
"GLP003","BG","107001556",56,"BWGAIN","Body Weight Gain","10.0","g","10.0",10,"g",NA,NA,NA,NA,"2007-06-08","2007-06-11",-6,-3,NA,NA,NA
