"LBTEST","LBTESTCD","LBSPEC","SPECIES","SEX","LBSTRESU","LBSTRESM","LBSTRESSD","N"
"Alkaline Phosphatase","ALP","PLASMA","RAT","F","IU/L",110.557046979866,81.8159124867006,298
"Alkaline Phosphatase","ALP","PLASMA","RAT","F","U/L",178.068280871671,168.075459023383,413
"Alkaline Phosphatase","ALP","PLASMA","RAT","M","g/L",127.9,23.0383737852016,10
"Alkaline Phosphatase","ALP","PLASMA","RAT","M","IU/L",102.625,34.5302358068107,120
"Alkaline Phosphatase","ALP","PLASMA","RAT","M","U/L",244.698128342246,228.066689330139,374
"Alkaline Phosphatase","ALP","SERUM","DOG","F","IU/L",84.0392156862745,35.8726542696021,17
"Alkaline Phosphatase","ALP","SERUM","DOG","F","U/L",106.84835234474,190.47234929598,526
"Alkaline Phosphatase","ALP","SERUM","DOG","M","IU/L",72.1666666666667,21.8648786108377,17
"Alkaline Phosphatase","ALP","SERUM","DOG","M","U/L",98.338496997378,68.7026337493199,563
"Alkaline Phosphatase","ALP","SERUM","MONKEY","F","IU/L",887.391666666666,453.358140825822,32
"Alkaline Phosphatase","ALP","SERUM","MONKEY","F","U/L",407.767197377502,209.333973332112,943
"Alkaline Phosphatase","ALP","SERUM","MONKEY","M","IU/L",1031.19824561404,604.82543540394,19
"Alkaline Phosphatase","ALP","SERUM","MONKEY","M","U/L",550.437111397247,247.455154500565,1054
"Alkaline Phosphatase","ALP","SERUM","MOUSE","F","U/L",107.577992277992,36.8644358794725,518
"Alkaline Phosphatase","ALP","SERUM","MOUSE","M","U/L",82.8240469208211,33.9320982503992,682
"Alkaline Phosphatase","ALP","SERUM","PIG","F","U/L",148.056737588652,33.9598597344463,47
"Alkaline Phosphatase","ALP","SERUM","PIG","M","U/L",153.223404255319,28.7913591731675,47
"Alkaline Phosphatase","ALP","SERUM","RABBIT","F","U/L",90.6428571428571,23.5931691525751,42
"Alkaline Phosphatase","ALP","SERUM","RABBIT","M","U/L",112.671212121212,34.1710269319651,66
"Alkaline Phosphatase","ALP","SERUM","RAT","F","IU/L",210.218421052632,151.719154182579,190
"Alkaline Phosphatase","ALP","SERUM","RAT","F","U/L",78.152921042396,41.1706731854574,4285
"Alkaline Phosphatase","ALP","SERUM","RAT","F","ukat/L",2.33145125,1.86224764827562,32
"Alkaline Phosphatase","ALP","SERUM","RAT","M","IU/L",259.396453900709,240.857930683317,141
"Alkaline Phosphatase","ALP","SERUM","RAT","M","U/L",143.849109414758,73.1187232762037,4585
"Alkaline Phosphatase","ALP","SERUM","RAT","M","ukat/L",3.5205525,1.14429797446633,32
"Alkaline Phosphatase","ALP","WHOLE BLOOD","DOG","F","U/L",49.4166666666667,22.2003617224148,12
"Alkaline Phosphatase","ALP","WHOLE BLOOD","DOG","M","U/L",51.4166666666667,27.2953820047985,12
"Alkaline Phosphatase","ALP","WHOLE BLOOD","MOUSE","F","U/L",77.0833333333333,19.9671832214036,24
"Alkaline Phosphatase","ALP","WHOLE BLOOD","MOUSE","M","U/L",63.9333333333333,18.9753621260858,30
