STUDYID, DOMAIN, USUBJID, POOLID, PPSEQ, PPGRPID, PPTESTCD, PPTEST, PPCAT, PPSCAT, PPORRES, PPORRESU, PPSTRESC, PPSTRESN, PPSTRESU, PPSTAT, PPREASND, PPSPEC, VISITDY, PPTPTREF, PPRFTDTC, PPSTINT, PPENINT
STUDY123,PP,STUDY123-4006,,267,ARTICLE123-DAY85-STUDY123-4006,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4103,,268,ARTICLE123-DAY85-STUDY123-4103,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,332,h*ug/mL,332,332,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4103,,269,ARTICLE123-DAY85-STUDY123-4103,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,18.6,ug/mL,18.6,18.6,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4103,,270,ARTICLE123-DAY85-STUDY123-4103,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4501,,271,ARTICLE123-DAY85-STUDY123-4501,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,260,h*ug/mL,260,260,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4501,,272,ARTICLE123-DAY85-STUDY123-4501,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,12.6,ug/mL,12.6,12.6,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4501,,273,ARTICLE123-DAY85-STUDY123-4501,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4502,,274,ARTICLE123-DAY85-STUDY123-4502,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,414,h*ug/mL,414,414,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4502,,275,ARTICLE123-DAY85-STUDY123-4502,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,21.1,ug/mL,21.1,21.1,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4502,,276,ARTICLE123-DAY85-STUDY123-4502,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4503,,277,ARTICLE123-DAY85-STUDY123-4503,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,400,h*ug/mL,400,400,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4503,,278,ARTICLE123-DAY85-STUDY123-4503,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,19.7,ug/mL,19.7,19.7,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4503,,279,ARTICLE123-DAY85-STUDY123-4503,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,8.0,h,8.0,8.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4504,,280,ARTICLE123-DAY85-STUDY123-4504,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,274,h*ug/mL,274,274,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4504,,281,ARTICLE123-DAY85-STUDY123-4504,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,15.4,ug/mL,15.4,15.4,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4504,,282,ARTICLE123-DAY85-STUDY123-4504,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,4.0,h,4.0,4.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4506,,283,ARTICLE123-DAY85-STUDY123-4506,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,341,h*ug/mL,341,341,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4506,,284,ARTICLE123-DAY85-STUDY123-4506,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,17.0,ug/mL,17.0,17.0,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4506,,285,ARTICLE123-DAY85-STUDY123-4506,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,2.0,h,2.0,2.0,h,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4605,,286,ARTICLE123-DAY85-STUDY123-4605,AUCINT,AUCINT,ARTICLE123,NONCOMPARTMENTAL,339,h*ug/mL,339,339,h*ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4605,,287,ARTICLE123-DAY85-STUDY123-4605,CMAX,CMAX,ARTICLE123,NONCOMPARTMENTAL,17.5,ug/mL,17.5,17.5,ug/mL,,,PLASMA,85,,,PT0H, PT24H
STUDY123,PP,STUDY123-4605,,288,ARTICLE123-DAY85-STUDY123-4605,TMAX,TMAX,ARTICLE123,NONCOMPARTMENTAL,8.0,h,8.0,8.0,h,,,PLASMA,85,,,PT0H, PT24H
